You entered a buffer length of 20
gx: 0.197266, gy: -0.234490, gz: 0.013184, avg x: 0.084513, avg y: -0.030379, avg z: -0.054866, x_min: -0.435271, x_max: 0.358887, y_min: -0.279433, y_max: 0.179199, z_min: -0.210064, z_max: 0.067383
gx: 0.087402, gy: -0.077186, gz: 0.134277, avg x: 0.081071, avg y: -0.031234, avg z: -0.046760, x_min: -0.435271, x_max: 0.358887, y_min: -0.279433, y_max: 0.179199, z_min: -0.210064, z_max: 0.134277
gx: 0.021973, gy: 0.023926, gz: 0.145508, avg x: 0.073771, avg y: -0.026887, avg z: -0.037750, x_min: -0.435271, x_max: 0.358887, y_min: -0.279433, y_max: 0.179199, z_min: -0.210064, z_max: 0.145508
gx: -0.011724, gy: 0.091309, gz: 0.139160, avg x: 0.064518, avg y: -0.019097, avg z: -0.028716, x_min: -0.435271, x_max: 0.358887, y_min: -0.279433, y_max: 0.179199, z_min: -0.210064, z_max: 0.145508
gx: -0.018564, gy: 0.223145, gz: 0.189453, avg x: 0.054459, avg y: -0.004569, avg z: -0.016630, x_min: -0.435271, x_max: 0.358887, y_min: -0.279433, y_max: 0.223145, z_min: -0.210064, z_max: 0.189453
gx: -0.002443, gy: 0.283691, gz: 0.227539, avg x: 0.044864, avg y: 0.012962, avg z: -0.002957, x_min: -0.435271, x_max: 0.358887, y_min: -0.279433, y_max: 0.283691, z_min: -0.210064, z_max: 0.227539
gx: -0.036639, gy: 0.369629, gz: 0.176758, avg x: 0.032900, avg y: 0.034081, avg z: 0.006907, x_min: -0.435271, x_max: 0.358887, y_min: -0.279433, y_max: 0.369629, z_min: -0.210064, z_max: 0.227539
gx: -0.396190, gy: 0.417969, gz: 0.081055, avg x: 0.002153, avg y: 0.056347, avg z: 0.010130, x_min: -0.435271, x_max: 0.358887, y_min: -0.279433, y_max: 0.417969, z_min: -0.210064, z_max: 0.227539
gx: -0.534441, gy: 0.379883, gz: 0.044922, avg x: -0.036288, avg y: 0.075928, avg z: 0.009520, x_min: -0.534441, x_max: 0.358887, y_min: -0.279433, y_max: 0.417969, z_min: -0.210064, z_max: 0.227539
gx: -0.801172, gy: 0.200195, gz: 0.058594, avg x: -0.086600, avg y: 0.085962, avg z: 0.009080, x_min: -0.801172, x_max: 0.358887, y_min: -0.279433, y_max: 0.417969, z_min: -0.210064, z_max: 0.227539
gx: -0.696629, gy: 0.006836, gz: 0.077637, avg x: -0.122115, avg y: 0.083765, avg z: 0.011033, x_min: -0.801172, x_max: 0.358887, y_min: -0.279433, y_max: 0.417969, z_min: -0.210064, z_max: 0.227539
gx: -0.511969, gy: -0.023937, gz: 0.070801, avg x: -0.138994, avg y: 0.078906, avg z: 0.014109, x_min: -0.801172, x_max: 0.358887, y_min: -0.279433, y_max: 0.417969, z_min: -0.210064, z_max: 0.227539
gx: 0.086426, gy: -0.035173, gz: 0.047852, avg x: -0.112909, avg y: 0.071288, avg z: 0.018016, x_min: -0.801172, x_max: 0.358887, y_min: -0.279433, y_max: 0.417969, z_min: -0.210064, z_max: 0.227539
gx: 0.457520, gy: -0.084025, gz: -0.071812, avg x: -0.068904, avg y: 0.058127, avg z: 0.019287, x_min: -0.801172, x_max: 0.457520, y_min: -0.279433, y_max: 0.417969, z_min: -0.210064, z_max: 0.227539
gx: 0.556152, gy: -0.127015, gz: -0.110405, avg x: -0.026856, avg y: 0.043206, avg z: 0.021094, x_min: -0.801172, x_max: 0.556152, y_min: -0.279433, y_max: 0.417969, z_min: -0.210064, z_max: 0.227539
gx: 0.624023, gy: -0.183683, gz: -0.230581, avg x: 0.005884, avg y: 0.028798, avg z: 0.019140, x_min: -0.801172, x_max: 0.624023, y_min: -0.279433, y_max: 0.417969, z_min: -0.230581, z_max: 0.227539
gx: 0.627930, gy: -0.056668, gz: -0.259404, avg x: 0.030688, avg y: 0.024329, avg z: 0.016673, x_min: -0.801172, x_max: 0.627930, y_min: -0.279433, y_max: 0.417969, z_min: -0.259404, z_max: 0.227539
gx: 0.637695, gy: 0.060059, gz: -0.244748, avg x: 0.045117, avg y: 0.035221, avg z: 0.013864, x_min: -0.801172, x_max: 0.637695, y_min: -0.279433, y_max: 0.417969, z_min: -0.259404, z_max: 0.227539
gx: 0.631348, gy: 0.097168, gz: -0.179775, avg x: 0.058740, avg y: 0.052610, avg z: 0.012985, x_min: -0.801172, x_max: 0.637695, y_min: -0.279433, y_max: 0.417969, z_min: -0.259404, z_max: 0.227539
gx: 0.554688, gy: -0.049829, gz: -0.072301, avg x: 0.073633, avg y: 0.064090, avg z: 0.011886, x_min: -0.801172, x_max: 0.637695, y_min: -0.234490, y_max: 0.417969, z_min: -0.259404, z_max: 0.227539
gx: 0.437500, gy: -0.068393, gz: -0.054714, avg x: 0.085644, avg y: 0.072395, avg z: 0.008491, x_min: -0.801172, x_max: 0.637695, y_min: -0.183683, y_max: 0.417969, z_min: -0.259404, z_max: 0.227539
gx: 0.167480, gy: 0.034180, gz: 0.002930, avg x: 0.089648, avg y: 0.077963, avg z: 0.001923, x_min: -0.801172, x_max: 0.637695, y_min: -0.183683, y_max: 0.417969, z_min: -0.259404, z_max: 0.227539
gx: -0.287250, gy: 0.241699, gz: 0.061035, avg x: 0.074187, avg y: 0.088852, avg z: -0.002300, x_min: -0.801172, x_max: 0.637695, y_min: -0.183683, y_max: 0.417969, z_min: -0.259404, z_max: 0.227539
gx: -0.531998, gy: 0.323242, gz: 0.151855, avg x: 0.048173, avg y: 0.100449, avg z: -0.001665, x_min: -0.801172, x_max: 0.637695, y_min: -0.183683, y_max: 0.417969, z_min: -0.259404, z_max: 0.227539
gx: -0.611138, gy: 0.333984, gz: 0.137695, avg x: 0.018545, avg y: 0.105991, avg z: -0.004253, x_min: -0.801172, x_max: 0.637695, y_min: -0.183683, y_max: 0.417969, z_min: -0.259404, z_max: 0.227539
gx: -0.509526, gy: 0.352539, gz: 0.093262, avg x: -0.006810, avg y: 0.109433, avg z: -0.010967, x_min: -0.801172, x_max: 0.637695, y_min: -0.183683, y_max: 0.417969, z_min: -0.259404, z_max: 0.176758
gx: -0.427455, gy: 0.368652, gz: 0.062988, avg x: -0.026350, avg y: 0.109384, avg z: -0.016656, x_min: -0.801172, x_max: 0.637695, y_min: -0.183683, y_max: 0.417969, z_min: -0.259404, z_max: 0.151855
gx: -0.049340, gy: 0.330566, gz: 0.140625, avg x: -0.009008, avg y: 0.105014, avg z: -0.013677, x_min: -0.801172, x_max: 0.637695, y_min: -0.183683, y_max: 0.379883, z_min: -0.259404, z_max: 0.151855
