You entered a buffer length of 20
gx: 0.021484, gy: -0.000977, gz: -0.050806, avg x: 0.017548, avg y: 0.007004, avg z: 0.019693, x_min: -0.083048, x_max: 0.099609, y_min: -0.037616, y_max: 0.052246, z_min: -0.071324, z_max: 0.100586
gx: -0.004885, gy: -0.022472, gz: -0.035662, avg x: 0.017230, avg y: 0.007761, avg z: 0.016152, x_min: -0.083048, x_max: 0.099609, y_min: -0.031265, y_max: 0.052246, z_min: -0.071324, z_max: 0.100586
gx: -0.018075, gy: -0.032242, gz: -0.020029, avg x: 0.013934, avg y: 0.006442, avg z: 0.016519, x_min: -0.083048, x_max: 0.099609, y_min: -0.032242, y_max: 0.052246, z_min: -0.071324, z_max: 0.100586
gx: -0.039570, gy: -0.051783, gz: 0.028320, avg x: 0.007268, avg y: 0.002266, avg z: 0.021501, x_min: -0.083048, x_max: 0.099609, y_min: -0.051783, y_max: 0.052246, z_min: -0.059599, z_max: 0.100586
gx: -0.018564, gy: -0.065950, gz: 0.050293, avg x: 0.001359, avg y: -0.003009, avg z: 0.026996, x_min: -0.083048, x_max: 0.079102, y_min: -0.065950, y_max: 0.052246, z_min: -0.055203, z_max: 0.100586
gx: -0.009282, gy: -0.065462, gz: 0.045410, avg x: -0.002376, avg y: -0.007259, avg z: 0.028729, x_min: -0.083048, x_max: 0.079102, y_min: -0.065950, y_max: 0.052246, z_min: -0.055203, z_max: 0.100586
gx: -0.012702, gy: -0.048852, gz: 0.014648, avg x: -0.003133, avg y: -0.009433, avg z: 0.026532, x_min: -0.083048, x_max: 0.079102, y_min: -0.065950, y_max: 0.052246, z_min: -0.055203, z_max: 0.100586
gx: -0.058622, gy: -0.013679, gz: -0.045921, avg x: -0.005454, avg y: -0.009286, avg z: 0.020915, x_min: -0.083048, x_max: 0.079102, y_min: -0.065950, y_max: 0.052246, z_min: -0.055203, z_max: 0.100586
gx: -0.080606, gy: 0.006836, gz: -0.077675, avg x: -0.008654, avg y: -0.008871, avg z: 0.014712, x_min: -0.083048, x_max: 0.079102, y_min: -0.065950, y_max: 0.052246, z_min: -0.077675, z_max: 0.100586
gx: -0.119199, gy: 0.068848, gz: -0.127015, avg x: -0.014076, avg y: -0.006186, avg z: 0.006335, x_min: -0.119199, x_max: 0.079102, y_min: -0.065950, y_max: 0.068848, z_min: -0.127015, z_max: 0.100586
gx: -0.085491, gy: 0.090332, gz: -0.095261, avg x: -0.018180, avg y: -0.002157, avg z: -0.001870, x_min: -0.119199, x_max: 0.079102, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.100586
gx: -0.041524, gy: 0.088379, gz: -0.047875, avg x: -0.019010, avg y: 0.002726, avg z: -0.009025, x_min: -0.119199, x_max: 0.079102, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.100586
gx: -0.013679, gy: 0.080078, gz: 0.022949, avg x: -0.017154, avg y: 0.007829, avg z: -0.012907, x_min: -0.119199, x_max: 0.079102, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.091797
gx: 0.005371, gy: 0.052734, gz: 0.055664, avg x: -0.012733, avg y: 0.012029, avg z: -0.014713, x_min: -0.119199, x_max: 0.079102, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.077637
gx: 0.020020, gy: -0.012702, gz: 0.087402, avg x: -0.010047, avg y: 0.011760, avg z: -0.014225, x_min: -0.119199, x_max: 0.079102, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.004883, gy: -0.048852, gz: 0.061035, avg x: -0.009436, avg y: 0.008878, avg z: -0.014152, x_min: -0.119199, x_max: 0.079102, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.007324, gy: -0.044944, gz: 0.022949, avg x: -0.012024, avg y: 0.004018, avg z: -0.013151, x_min: -0.119199, x_max: 0.079102, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
